state,country,date,cases,deaths
not provided,Afghanistan,2021-01-30,55008,2400
not provided,Albania,2021-01-30,77251,1369
not provided,Algeria,2021-01-30,107122,2888
not provided,Andorra,2021-01-30,9885,101
not provided,Angola,2021-01-30,19782,464
not provided,Antigua and Barbuda,2021-01-30,218,7
not provided,Argentina,2021-01-30,1922264,47931
not provided,Armenia,2021-01-30,166901,3071
Australian Capital Territory,Australia,2021-01-30,118,3
New South Wales,Australia,2021-01-30,5104,54
Northern Territory,Australia,2021-01-30,98,0
Queensland,Australia,2021-01-30,1309,6
South Australia,Australia,2021-01-30,597,4
Tasmania,Australia,2021-01-30,234,13
Victoria,Australia,2021-01-30,20448,820
Western Australia,Australia,2021-01-30,903,9
not provided,Austria,2021-01-30,413208,7703
not provided,Azerbaijan,2021-01-30,230066,3126
not provided,Bahamas,2021-01-30,8174,176
not provided,Bahrain,2021-01-30,102626,372
not provided,Bangladesh,2021-01-30,534770,8111
not provided,Barbados,2021-01-30,1523,12
not provided,Belarus,2021-01-30,246570,1708
Antwerp,Belgium,2021-01-30,88269,0
Brussels,Belgium,2021-01-30,87956,0
East Flanders,Belgium,2021-01-30,73394,0
Flemish Brabant,Belgium,2021-01-30,54012,0
Hainaut,Belgium,2021-01-30,108969,0
Liege,Belgium,2021-01-30,101467,0
Limburg,Belgium,2021-01-30,34473,0
Luxembourg,Belgium,2021-01-30,19947,0
Namur,Belgium,2021-01-30,37488,0
Unknown,Belgium,2021-01-30,12560,21066
Walloon Brabant,Belgium,2021-01-30,27371,0
West Flanders,Belgium,2021-01-30,61931,0
not provided,Belize,2021-01-30,11908,301
not provided,Benin,2021-01-30,3786,48
not provided,Bhutan,2021-01-30,858,1
not provided,Bolivia,2021-01-30,215397,10330
not provided,Bosnia and Herzegovina,2021-01-30,121497,4679
not provided,Botswana,2021-01-30,21293,134
Acre,Brazil,2021-01-30,48347,864
Alagoas,Brazil,2021-01-30,117287,2737
Amapa,Brazil,2021-01-30,76884,1059
Amazonas,Brazil,2021-01-30,265994,8018
Bahia,Brazil,2021-01-30,585958,10059
Ceara,Brazil,2021-01-30,370300,10465
Distrito Federal,Brazil,2021-01-30,276572,4545
Espirito Santo,Brazil,2021-01-30,293030,5841
Goias,Brazil,2021-01-30,350349,7487
Maranhao,Brazil,2021-01-30,207415,4688
Mato Grosso,Brazil,2021-01-30,215392,5036
Mato Grosso do Sul,Brazil,2021-01-30,160623,2898
Minas Gerais,Brazil,2021-01-30,729968,14939
Para,Brazil,2021-01-30,328800,7618
Paraiba,Brazil,2021-01-30,190480,4048
Parana,Brazil,2021-01-30,547430,10013
Pernambuco,Brazil,2021-01-30,260679,10332
Piaui,Brazil,2021-01-30,158584,3051
Rio Grande do Norte,Brazil,2021-01-30,140032,3282
Rio Grande do Sul,Brazil,2021-01-30,546708,10663
Rio de Janeiro,Brazil,2021-01-30,520730,29789
Rondonia,Brazil,2021-01-30,123957,2229
Roraima,Brazil,2021-01-30,73909,856
Santa Catarina,Brazil,2021-01-30,575616,6325
Sao Paulo,Brazil,2021-01-30,1773024,52954
Sergipe,Brazil,2021-01-30,136799,2773
Tocantins,Brazil,2021-01-30,102108,1376
not provided,Brunei,2021-01-30,180,3
not provided,Bulgaria,2021-01-30,218618,9028
not provided,Burkina Faso,2021-01-30,10580,120
not provided,Burma,2021-01-30,139864,3125
not provided,Burundi,2021-01-30,1613,2
not provided,Cabo Verde,2021-01-30,13981,133
not provided,Cambodia,2021-01-30,465,0
not provided,Cameroon,2021-01-30,29617,462
Alberta,Canada,2021-01-30,123747,1631
British Columbia,Canada,2021-01-30,66779,1189
Diamond Princess,Canada,2021-01-30,0,1
Grand Princess,Canada,2021-01-30,13,0
Manitoba,Canada,2021-01-30,29446,825
New Brunswick,Canada,2021-01-30,1230,18
Newfoundland and Labrador,Canada,2021-01-30,408,4
Northwest Territories,Canada,2021-01-30,35,0
Nova Scotia,Canada,2021-01-30,1570,65
Nunavut,Canada,2021-01-30,284,1
Ontario,Canada,2021-01-30,271060,6160
Prince Edward Island,Canada,2021-01-30,111,0
Quebec,Canada,2021-01-30,261360,9763
Repatriated Travellers,Canada,2021-01-30,13,0
Saskatchewan,Canada,2021-01-30,22646,268
Yukon,Canada,2021-01-30,70,1
not provided,Central African Republic,2021-01-30,4981,63
not provided,Chad,2021-01-30,3347,118
Antofagasta,Chile,2021-01-30,31159,645
Araucania,Chile,2021-01-30,31538,400
Arica y Parinacota,Chile,2021-01-30,12855,253
Atacama,Chile,2021-01-30,10081,128
Aysen,Chile,2021-01-30,2478,18
Biobio,Chile,2021-01-30,60569,1050
Coquimbo,Chile,2021-01-30,16839,339
Los Lagos,Chile,2021-01-30,41573,397
Los Rios,Chile,2021-01-30,14523,156
Magallanes,Chile,2021-01-30,19862,272
Maule,Chile,2021-01-30,35158,694
Metropolitana,Chile,2021-01-30,342453,11329
Nuble,Chile,2021-01-30,13714,263
OHiggins,Chile,2021-01-30,25985,654
Tarapaca,Chile,2021-01-30,21033,353
Unknown,Chile,2021-01-30,51,1
Valparaiso,Chile,2021-01-30,43029,1387
Anhui,China,2021-01-30,994,6
Beijing,China,2021-01-30,1036,9
Chongqing,China,2021-01-30,591,6
Fujian,China,2021-01-30,541,1
Gansu,China,2021-01-30,187,2
Guangdong,China,2021-01-30,2124,8
Guangxi,China,2021-01-30,267,2
Guizhou,China,2021-01-30,147,2
Hainan,China,2021-01-30,171,6
Hebei,China,2021-01-30,1312,7
Heilongjiang,China,2021-01-30,1561,13
Henan,China,2021-01-30,1303,22
Hong Kong,China,2021-01-30,10399,179
Hubei,China,2021-01-30,68150,4512
Hunan,China,2021-01-30,1031,4
Inner Mongolia,China,2021-01-30,366,1
Jiangsu,China,2021-01-30,694,0
Jiangxi,China,2021-01-30,935,1
Jilin,China,2021-01-30,541,3
Liaoning,China,2021-01-30,400,2
Macau,China,2021-01-30,47,0
Ningxia,China,2021-01-30,75,0
Qinghai,China,2021-01-30,18,0
Shaanxi,China,2021-01-30,539,3
Shandong,China,2021-01-30,866,7
Shanghai,China,2021-01-30,1694,7
Shanxi,China,2021-01-30,238,0
Sichuan,China,2021-01-30,870,3
Tianjin,China,2021-01-30,343,3
Tibet,China,2021-01-30,1,0
Xinjiang,China,2021-01-30,980,3
Yunnan,China,2021-01-30,231,2
Zhejiang,China,2021-01-30,1316,1
Amazonas,Colombia,2021-01-30,3687,137
Antioquia,Colombia,2021-01-30,324932,5890
Arauca,Colombia,2021-01-30,5326,154
Atlantico,Colombia,2021-01-30,114633,3814
Bolivar,Colombia,2021-01-30,63425,1267
Boyaca,Colombia,2021-01-30,41626,872
Caldas,Colombia,2021-01-30,43944,859
Capital District,Colombia,2021-01-30,610855,12559
Caqueta,Colombia,2021-01-30,16541,589
Casanare,Colombia,2021-01-30,11366,226
Cauca,Colombia,2021-01-30,25494,646
Cesar,Colombia,2021-01-30,38258,1086
Choco,Colombia,2021-01-30,6082,179
Cordoba,Colombia,2021-01-30,33019,1715
Cundinamarca,Colombia,2021-01-30,94687,2440
Guainia,Colombia,2021-01-30,1280,21
Guaviare,Colombia,2021-01-30,2160,39
Huila,Colombia,2021-01-30,46111,1490
La Guajira,Colombia,2021-01-30,15583,595
Magdalena,Colombia,2021-01-30,29765,1178
Meta,Colombia,2021-01-30,40467,883
Narino,Colombia,2021-01-30,45491,1365
Norte de Santander,Colombia,2021-01-30,48529,2518
Putumayo,Colombia,2021-01-30,7326,287
Quindio,Colombia,2021-01-30,29902,841
Risaralda,Colombia,2021-01-30,44034,1021
San Andres y Providencia,Colombia,2021-01-30,2620,42
Santander,Colombia,2021-01-30,83411,2908
Sucre,Colombia,2021-01-30,19261,716
Tolima,Colombia,2021-01-30,62007,1857
Unknown,Colombia,2021-01-30,0,0
Valle del Cauca,Colombia,2021-01-30,172607,5423
Vaupes,Colombia,2021-01-30,1150,13
Vichada,Colombia,2021-01-30,1227,20
not provided,Comoros,2021-01-30,2718,90
not provided,Congo (Brazzaville),2021-01-30,7887,117
not provided,Congo (Kinshasa),2021-01-30,22604,671
not provided,Costa Rica,2021-01-30,193276,2604
